infected_year,tested_year,log_titer
2017,2017,8
2017,2018,9
2017,2019,8
2017,2019,8
2017,2019,8
2017,2019,1
2017,2018,5
2017,2017,8
2017,2019,8
2017,2020,9
2017,2020,1
2018,2017,6
2018,2018,7
2018,2019,6
2018,2019,6
2018,2019,6
2018,2019,1
2018,2018,3
2018,2017,6
2018,2019,6
2018,2020,7
2018,2020,1
2019,2017,6
2019,2018,7
2019,2019,7
2019,2019,7
2019,2019,7
2019,2019,2
2019,2018,3
2019,2017,6
2019,2019,6
2019,2020,7
2019,2020,1
2019,2017,8
2019,2018,8
2019,2019,8
2019,2019,8
2019,2019,8
2019,2019,2
2019,2018,4
2019,2017,6
2019,2019,7
2019,2020,8
2019,2020,1
2019,2017,7
2019,2018,8
2019,2019,8
2019,2019,8
2019,2019,8
2019,2019,1
2019,2018,4
2019,2017,7
2019,2019,7
2019,2020,8
2019,2020,1
2019,2017,2
2019,2018,2
2019,2019,1
2019,2019,1
2019,2019,1
2019,2019,8
2019,2018,8
2019,2017,2
2019,2019,3
2019,2020,1
2019,2020,6
2018,2017,1
2018,2018,3
2018,2019,3
2018,2019,3
2018,2019,3
2018,2019,8
2018,2018,8
2018,2017,2
2018,2019,4
2018,2020,1
2018,2020,6
2017,2017,6
2017,2018,7
2017,2019,6
2017,2019,7
2017,2019,6
2017,2019,3
2017,2018,3
2017,2017,7
2017,2019,6
2017,2020,7
2017,2020,2
2017,2017,9
2017,2019,3
2017,2018,4
2017,2020,8
2017,2020,4
2017,2021,7
2017,2021,7
2017,2021,7
2018,2019,7
2018,2019,2
2018,2018,2
2018,2020,6
2018,2020,2
2018,2021,6
2018,2021,5
2018,2021,5
2019,2019,6
2019,2019,6
2019,2018,2
2019,2020,6
2019,2020,2
2019,2021,6
2019,2021,6
2019,2021,6
2019,2017,7
2019,2019,7
2019,2019,7
2019,2019,3
2019,2018,3
2019,2017,7
2019,2020,7
2019,2020,2
2019,2021,7
2019,2021,7
2019,2021,7
2019,2019,7
2019,2019,7
2019,2019,3
2019,2018,3
2019,2020,7
2019,2020,4
2019,2021,7
2019,2021,7
2019,2021,7
2019,2017,1
2019,2019,2
2019,2019,7
2019,2018,7
2019,2017,1
2019,2020,1
2019,2020,1
2019,2021,2
2019,2021,2
2019,2021,1
2018,2017,2
2018,2018,4
2018,2019,4
2018,2018,7
2018,2020,3
2018,2020,1
2018,2021,3
2018,2021,3
2018,2021,2
2017,2017,7
2017,2019,7
2017,2019,6
2017,2018,2
2017,2020,6
2017,2020,3
2017,2021,6
2017,2021,6
2017,2021,6
2017,2018,8
2017,2019,7
2017,2019,7
2017,2019,4
2017,2018,3
2017,2017,7
2017,2020,4
2017,2020,5
2017,2020,6
2017,2020,4
2017,2020,5
2017,2021,8
2017,2021,8
2017,2021,9
2017,2021,8
2018,2018,6
2018,2019,5
2018,2018,1
2018,2020,1
2018,2020,1
2018,2020,4
2018,2020,1
2018,2020,3
2018,2021,6
2018,2021,7
2018,2021,8
2018,2021,7
2019,2019,6
2019,2019,3
2019,2017,5
2019,2020,2
2019,2020,2
2019,2020,4
2019,2020,2
2019,2020,3
2019,2021,7
2019,2021,7
2019,2021,7
2019,2021,6
2019,2019,1
2019,2020,1
2019,2020,3
2019,2020,4
2019,2020,1
2019,2020,3
2019,2021,8
2019,2021,8
2019,2021,8
2019,2021,8
2019,2017,6
2019,2018,7
2019,2019,7
2019,2019,4
2019,2017,6
2019,2020,4
2019,2020,4
2019,2020,5
2019,2020,4
2019,2020,4
2019,2021,8
2019,2021,8
2019,2021,8
2019,2021,7
2019,2019,2
2019,2019,9
2019,2020,1
2019,2020,1
2019,2020,1
2019,2020,1
2019,2020,1
2019,2021,2
2019,2021,2
2019,2021,3
2019,2021,1
2018,2019,2
2018,2019,9
2018,2020,1
2018,2020,1
2018,2020,1
2018,2020,1
2018,2020,1
2018,2021,2
2018,2021,3
2018,2021,2
2018,2021,2
2017,2019,5
2017,2019,4
2017,2017,6
2017,2020,3
2017,2020,3
2017,2020,4
2017,2020,3
2017,2020,4
2017,2021,7
2017,2021,6
2017,2021,7
2017,2021,7
2017,2020,6
2017,2021,6
2017,2021,7
2017,2021,7
2017,2021,7
2018,2020,3
2018,2020,4
2018,2021,4
2018,2021,6
2018,2021,6
2018,2021,6
2019,2020,3
2019,2020,5
2019,2021,5
2019,2021,6
2019,2021,6
2019,2021,6
2019,2020,3
2019,2020,6
2019,2021,6
2019,2021,7
2019,2021,7
2019,2021,7
2019,2020,5
2019,2020,6
2019,2021,6
2019,2021,7
2019,2021,7
2019,2021,7
2019,2020,1
2019,2021,1
2019,2021,1
2019,2021,1
2019,2021,1
2018,2019,7
2018,2020,2
2018,2020,1
2018,2021,1
2018,2021,2
2018,2021,2
2018,2021,2
2020,2017,4
2020,2018,4
2020,2019,4
2020,2019,4
2020,2019,5
2020,2019,3
2020,2018,3
2020,2020,6
2020,2017,4
2020,2020,3
2020,2021,3
2020,2021,4
2020,2021,4
2020,2021,4
2017,2020,4
2017,2020,5
2017,2021,4
2017,2021,6
2017,2021,6
2017,2021,6
2017,2017,6
2017,2018,7
2017,2019,6
2017,2019,6
2017,2019,2
2017,2018,2
2017,2017,6
2017,2019,4
2017,2021,6
2017,2021,7
2017,2021,6
2017,2021,6
2017,2021,5
2017,2021,5
2017,2021,6
2017,2021,6
2018,2017,5
2018,2017,5
2018,2019,4
2018,2021,6
2018,2021,6
2018,2021,5
2018,2021,6
2018,2021,4
2018,2021,5
2018,2021,5
2018,2021,6
2020,2017,3
2020,2019,3
2020,2019,4
2020,2017,3
2020,2019,2
2020,2021,4
2020,2021,4
2020,2021,3
2020,2021,4
2020,2021,3
2020,2021,3
2020,2021,4
2020,2021,4
2019,2017,5
2019,2019,5
2019,2019,4
2019,2021,6
2019,2021,6
2019,2021,6
2019,2021,6
2019,2021,5
2019,2021,5
2019,2021,5
2019,2021,6
2019,2020,4
2019,2019,6
2019,2021,7
2019,2021,8
2019,2021,7
2019,2021,8
2019,2021,7
2019,2021,6
2019,2021,7
2019,2021,7
2019,2019,6
2019,2017,5
2019,2019,5
2019,2021,7
2019,2021,7
2019,2021,7
2019,2021,7
2019,2021,6
2019,2021,6
2019,2021,6
2019,2021,7
2019,2019,6
2019,2019,1
2019,2021,1
2019,2021,1
2019,2021,1
2019,2021,1
2019,2021,1
2019,2021,1
2019,2021,1
2019,2021,1
2018,2019,2
2018,2021,3
2018,2021,3
2018,2021,3
2018,2021,3
2018,2021,2
2018,2021,2
2018,2021,3
2018,2021,3
2017,2017,5
2017,2018,5
2017,2019,4
2017,2021,6
2017,2021,6
2017,2021,5
2017,2021,6
2017,2021,5
2017,2021,5
2017,2021,5
2017,2021,6
2009,2009,8
2009,2009,7
2009,2009,7
2009,2009,8
2009,2009,2
2009,2009,5
2009,2010,7
2009,2010,8
2009,2010,7
2009,2010,8
2009,2010,7
2009,2010,7
2009,2010,7
2009,2010,7
2009,2010,8
2009,2010,6
2009,2010,6
2009,2010,8
2009,2010,6
2009,2010,7
2009,2010,6
2009,2010,7
2009,2010,8
