"study","infected_year","tested_year","log_titer"
"smith",1968,1968,5
"smith",1968,1968,6
"smith",1968,1968,6
"smith",1968,1969,5
"smith",1968,1969,7
"smith",1968,1969,5
"smith",1968,1970,6
"smith",1968,1970,5
"smith",1968,1971,4
"smith",1968,1971,6
"smith",1968,1971,6
"smith",1968,1972,5
"smith",1968,1976,0
"smith",1968,1975,2
"smith",1968,1975,0
"smith",1968,1975,2
"smith",1968,1972,3
"smith",1968,1972,3
"smith",1968,1972,3
"smith",1968,1973,4
"smith",1968,1973,2
"smith",1968,1973,3
"smith",1968,1974,2
"smith",1968,1974,2
"smith",1968,1974,0
"smith",1968,1974,1
"smith",1968,1974,2
"smith",1968,1975,3
"smith",1968,1975,2
"smith",1968,1976,0
"smith",1968,1976,0
"smith",1968,1976,0
"smith",1968,1976,0
"smith",1968,1976,0
"smith",1968,1976,1
"smith",1968,1977,0
"smith",1968,1977,0
"smith",1968,1977,2
"smith",1968,1977,2
"smith",1968,1980,0
"smith",1968,1980,0
"smith",1968,1986,0
"smith",1968,1995,0
"smith",1968,1985,0
"smith",1968,1987,0
"smith",1968,1982,0
"smith",1968,1989,0
"smith",1968,1992,0
"smith",1968,1993,0
"smith",1968,1994,0
"smith",1968,1995,0
"smith",1968,1995,0
"smith",1968,1996,0
"smith",1968,1997,0
"smith",1968,1997,0
"smith",1968,1997,0
"smith",1968,1998,0
"smith",1968,1998,0
"smith",1968,1998,0
"smith",1968,1994,0
"smith",1968,1968,7
"smith",1968,1973,2
"smith",1972,1968,5
"smith",1972,1968,5
"smith",1972,1968,6
"smith",1972,1969,6
"smith",1972,1969,6
"smith",1972,1969,5
"smith",1972,1970,6
"smith",1972,1970,5
"smith",1972,1971,5
"smith",1972,1971,6
"smith",1972,1971,6
"smith",1972,1972,6
"smith",1972,1976,4
"smith",1972,1975,5
"smith",1972,1975,5
"smith",1972,1975,4
"smith",1972,1972,7
"smith",1972,1972,6
"smith",1972,1972,6
"smith",1972,1973,6
"smith",1972,1973,6
"smith",1972,1973,7
"smith",1972,1974,5
"smith",1972,1974,5
"smith",1972,1974,4
"smith",1972,1974,5
"smith",1972,1974,5
"smith",1972,1975,5
"smith",1972,1975,5
"smith",1972,1976,3
"smith",1972,1976,5
"smith",1972,1976,3
"smith",1972,1976,4
"smith",1972,1976,4
"smith",1972,1976,4
"smith",1972,1977,5
"smith",1972,1977,5
"smith",1972,1977,5
"smith",1972,1977,5
"smith",1972,1980,0
"smith",1972,1980,0
"smith",1972,1986,0
"smith",1972,1985,0
"smith",1972,1987,0
"smith",1972,1979,0
"smith",1972,1982,0
"smith",1972,1986,0
"smith",1972,1987,0
"smith",1972,1989,0
"smith",1972,1989,0
"smith",1972,1992,0
"smith",1972,1993,0
"smith",1972,1994,0
"smith",1972,1977,3
"smith",1972,1968,8
"smith",1972,1971,5
"smith",1972,1972,9
"smith",1972,1973,6
"smith",1972,1975,5
"smith",1973,1968,3
"smith",1973,1968,3
"smith",1973,1968,4
"smith",1973,1969,3
"smith",1973,1969,3
"smith",1973,1969,3
"smith",1973,1970,3
"smith",1973,1971,2
"smith",1973,1971,3
"smith",1973,1971,4
"smith",1973,1972,4
"smith",1973,1976,6
"smith",1973,1975,6
"smith",1973,1975,7
"smith",1973,1975,7
"smith",1973,1972,7
"smith",1973,1972,6
"smith",1973,1972,6
"smith",1973,1973,7
"smith",1973,1973,7
"smith",1973,1973,7
"smith",1973,1974,6
"smith",1973,1974,8
"smith",1973,1974,6
"smith",1973,1974,8
"smith",1973,1974,8
"smith",1973,1975,7
"smith",1973,1975,7
"smith",1973,1976,5
"smith",1973,1976,5
"smith",1973,1976,6
"smith",1973,1976,4
"smith",1973,1976,5
"smith",1973,1976,5
"smith",1973,1977,5
"smith",1973,1977,5
"smith",1973,1977,5
"smith",1973,1977,6
"smith",1973,1995,0
"smith",1973,1987,0
"smith",1973,1979,0
"smith",1973,1982,0
"smith",1973,1986,0
"smith",1973,1987,0
"smith",1973,1989,0
"smith",1973,1989,0
"smith",1973,1992,0
"smith",1973,1993,0
"smith",1973,1993,0
"smith",1973,1994,0
"smith",1973,1995,0
"smith",1973,1995,0
"smith",1973,1996,0
"smith",1973,1997,0
"smith",1973,1997,0
"smith",1973,1997,0
"smith",1973,1998,0
"smith",1973,1998,0
"smith",1973,1998,0
"smith",1973,1977,5
"smith",1973,1994,0
"smith",1973,1968,2
"smith",1973,1971,7
"smith",1973,1972,7
"smith",1973,1973,6
"smith",1973,1975,7
"smith",1974,1968,2
"smith",1974,1968,2
"smith",1974,1969,3
"smith",1974,1969,2
"smith",1974,1969,2
"smith",1974,1970,2
"smith",1974,1970,1
"smith",1974,1971,3
"smith",1974,1971,3
"smith",1974,1972,4
"smith",1974,1976,3
"smith",1974,1975,8
"smith",1974,1975,4
"smith",1974,1975,4
"smith",1974,1972,6
"smith",1974,1972,5
"smith",1974,1972,5
"smith",1974,1973,6
"smith",1974,1973,4
"smith",1974,1973,5
"smith",1974,1974,6
"smith",1974,1974,4
"smith",1974,1974,3
"smith",1974,1974,5
"smith",1974,1974,5
"smith",1974,1975,8
"smith",1974,1975,4
"smith",1974,1976,3
"smith",1974,1976,4
"smith",1974,1976,4
"smith",1974,1976,2
"smith",1974,1976,3
"smith",1974,1976,3
"smith",1974,1977,3
"smith",1974,1977,4
"smith",1974,1977,5
"smith",1974,1977,4
"smith",1974,1980,0
"smith",1974,1980,0
"smith",1974,1986,0
"smith",1974,1985,0
"smith",1974,1987,0
"smith",1974,1979,0
"smith",1974,1982,0
"smith",1974,1986,0
"smith",1974,1987,0
"smith",1974,1989,0
"smith",1974,1989,0
"smith",1974,1992,0
"smith",1974,1993,0
"smith",1974,1994,0
"smith",1974,1977,0
"smith",1974,1968,0
"smith",1974,1971,5
"smith",1974,1972,6
"smith",1974,1973,6
"smith",1974,1975,5
"smith",1975,1968,2
"smith",1975,1968,2
"smith",1975,1968,3
"smith",1975,1969,4
"smith",1975,1969,2
"smith",1975,1969,2
"smith",1975,1970,2
"smith",1975,1970,2
"smith",1975,1971,1
"smith",1975,1971,3
"smith",1975,1971,3
"smith",1975,1972,4
"smith",1975,1976,7
"smith",1975,1975,2
"smith",1975,1975,4
"smith",1975,1975,4
"smith",1975,1972,4
"smith",1975,1972,4
"smith",1975,1972,4
"smith",1975,1973,4
"smith",1975,1973,3
"smith",1975,1973,3
"smith",1975,1974,3
"smith",1975,1974,4
"smith",1975,1974,5
"smith",1975,1974,3
"smith",1975,1974,4
"smith",1975,1975,2
"smith",1975,1975,3
"smith",1975,1976,3
"smith",1975,1976,6
"smith",1975,1976,4
"smith",1975,1976,6
"smith",1975,1976,6
"smith",1975,1976,6
"smith",1975,1977,8
"smith",1975,1977,6
"smith",1975,1977,6
"smith",1975,1977,6
"smith",1975,1980,2
"smith",1975,1980,2
"smith",1975,1982,1
"smith",1975,1982,2
"smith",1975,1985,1
"smith",1975,1985,2
"smith",1975,1986,1
"smith",1975,1988,1
"smith",1975,1989,1
"smith",1975,1985,1
"smith",1975,1989,1
"smith",1986,1968,0
"smith",1986,1969,0
"smith",1986,1969,0
"smith",1986,1969,0
"smith",1986,1970,0
"smith",1986,1970,0
"smith",1986,1971,0
"smith",1986,1971,0
"smith",1986,1971,0
"smith",1986,1972,0
"smith",1986,1973,0
"smith",1986,1974,0
"smith",1986,1976,3
"smith",1986,1980,6
"smith",1986,1980,6
"smith",1986,1986,8
"smith",1986,1985,7
"smith",1986,1987,4
"smith",1986,1985,5
"smith",1986,1979,4
"smith",1986,1982,4
"smith",1986,1984,5
"smith",1986,1986,6
"smith",1986,1987,3
"smith",1986,1989,3
"smith",1986,1989,3
"smith",1986,1992,0
"smith",1986,1993,0
"smith",1986,1994,0
"smith",1986,1977,5
"smith",1986,1968,0
"smith",1986,1971,0
"smith",1986,1972,0
"smith",1986,1973,0
"smith",1986,1975,2
"smith",1977,1968,1
"smith",1977,1968,1
"smith",1977,1969,1
"smith",1977,1969,1
"smith",1977,1970,1
"smith",1977,1970,1
