var,subtype,passage,est,est_ll,est_ul,year_diff
year_diff-5,A(H1N1),Both cultured in eggs,1,0.981,1,-5
year_diff-4,A(H1N1),Both cultured in eggs,1,0.995,1,-4
year_diff-3,A(H1N1),Both cultured in eggs,1,0.994,1,-3
year_diff-2,A(H1N1),Both cultured in eggs,0.997,0.994,1,-2
year_diff-1,A(H1N1),Both cultured in eggs,1,0.996,1,-1
year_diff0,A(H1N1),Both cultured in eggs,0.999,0.997,1,0
year_diff1,A(H1N1),Both cultured in eggs,0.998,0.995,1,1
year_diff2,A(H1N1),Both cultured in eggs,0.997,0.994,0.999,2
year_diff3,A(H1N1),Both cultured in eggs,0.997,0.992,1,3
year_diff4,A(H1N1),Both cultured in eggs,0.992,0.989,0.996,4
year_diff5,A(H1N1),Both cultured in eggs,1,0.99,1,5
year_diff6,A(H1N1),Both cultured in eggs,1,0.994,1,6
year_diff-5,A(H1N1),Reference strains cultured in eggs,1,0.961,1,-5
year_diff-4,A(H1N1),Reference strains cultured in eggs,0.995,0.983,1,-4
year_diff-3,A(H1N1),Reference strains cultured in eggs,1,0.98,1,-3
year_diff-2,A(H1N1),Reference strains cultured in eggs,0.955,0.947,0.964,-2
year_diff-1,A(H1N1),Reference strains cultured in eggs,0.986,0.975,0.996,-1
year_diff0,A(H1N1),Reference strains cultured in eggs,0.983,0.978,0.987,0
year_diff1,A(H1N1),Reference strains cultured in eggs,0.973,0.97,0.976,1
year_diff2,A(H1N1),Reference strains cultured in eggs,0.988,0.985,0.99,2
year_diff3,A(H1N1),Reference strains cultured in eggs,0.974,0.971,0.978,3
year_diff4,A(H1N1),Reference strains cultured in eggs,0.992,0.988,0.995,4
year_diff5,A(H1N1),Reference strains cultured in eggs,0.993,0.988,0.997,5
year_diff6,A(H1N1),Reference strains cultured in eggs,1,0.995,1,6
year_diff-5,A(H1N1),Tested strains cultured in eggs,1,0.952,1,-5
year_diff-4,A(H1N1),Tested strains cultured in eggs,0.988,0.971,1,-4
year_diff-3,A(H1N1),Tested strains cultured in eggs,1,0.988,1,-3
year_diff-2,A(H1N1),Tested strains cultured in eggs,0.958,0.949,0.967,-2
year_diff-1,A(H1N1),Tested strains cultured in eggs,0.997,0.989,1,-1
