var,subtype,passage,est,est_ll,est_ul,year_diff
year_diff-5,A(H1N1),Both cultured in eggs,8,7.45,8.55,-5
year_diff-4,A(H1N1),Both cultured in eggs,6.551,6.411,6.691,-4
year_diff-3,A(H1N1),Both cultured in eggs,6.307,6.119,6.495,-3
year_diff-2,A(H1N1),Both cultured in eggs,6.191,6.106,6.275,-2
year_diff-1,A(H1N1),Both cultured in eggs,6.421,6.312,6.53,-1
year_diff0,A(H1N1),Both cultured in eggs,6.977,6.922,7.032,0
year_diff1,A(H1N1),Both cultured in eggs,6.474,6.382,6.566,1
year_diff2,A(H1N1),Both cultured in eggs,6.431,6.355,6.508,2
year_diff3,A(H1N1),Both cultured in eggs,6.175,6.033,6.316,3
year_diff4,A(H1N1),Both cultured in eggs,6.217,6.1,6.333,4
year_diff5,A(H1N1),Both cultured in eggs,6.189,5.905,6.473,5
year_diff6,A(H1N1),Both cultured in eggs,6.518,6.325,6.711,6
year_diff-5,A(H1N1),Reference strains cultured in eggs,5.171,4.697,5.644,-5
year_diff-4,A(H1N1),Reference strains cultured in eggs,4.517,4.368,4.666,-4
year_diff-3,A(H1N1),Reference strains cultured in eggs,5.538,5.296,5.781,-3
year_diff-2,A(H1N1),Reference strains cultured in eggs,4.114,4.012,4.217,-2
year_diff-1,A(H1N1),Reference strains cultured in eggs,4.835,4.707,4.964,-1
year_diff0,A(H1N1),Reference strains cultured in eggs,6.185,6.131,6.238,0
year_diff1,A(H1N1),Reference strains cultured in eggs,6.188,6.152,6.224,1
year_diff2,A(H1N1),Reference strains cultured in eggs,6.381,6.346,6.417,2
year_diff3,A(H1N1),Reference strains cultured in eggs,6.313,6.274,6.353,3
year_diff4,A(H1N1),Reference strains cultured in eggs,6.316,6.276,6.355,4
year_diff5,A(H1N1),Reference strains cultured in eggs,6.369,6.317,6.42,5
year_diff6,A(H1N1),Reference strains cultured in eggs,6.179,6.117,6.242,6
year_diff-5,A(H1N1),Tested strains cultured in eggs,7.565,7.006,8.124,-5
year_diff-4,A(H1N1),Tested strains cultured in eggs,6.459,6.253,6.665,-4
year_diff-3,A(H1N1),Tested strains cultured in eggs,6.462,6.322,6.602,-3
year_diff-2,A(H1N1),Tested strains cultured in eggs,6.282,6.177,6.387,-2
