"","n_substutions","passage","est_h3","lower_h3","upper_h3","est_h1","se_h1","lower_h1","upper_h1"
"1",0,"Both cultured in cells",0.9808,0.9769,0.9847,1,0,1,1
"2",1,"Both cultured in cells",0.9759,0.9728,0.979,0.9999,0,0.9999,1
"3",2,"Both cultured in cells",0.9682,0.9649,0.9714,0.9996,1e-04,0.9993,0.9998
"4",3,"Both cultured in cells",0.9548,0.9506,0.9589,0.9977,4e-04,0.9968,0.9985
"5",4,"Both cultured in cells",0.9331,0.9284,0.9377,0.9911,8e-04,0.9895,0.9927
"6",5,"Both cultured in cells",0.9041,0.8989,0.9093,0.9776,0.0012,0.9753,0.9799
"7",6,"Both cultured in cells",0.8745,0.868,0.881,0.9612,0.0016,0.9581,0.9643
"8",7,"Both cultured in cells",0.8506,0.8436,0.8576,0.9496,0.0018,0.946,0.9532
"9",8,"Both cultured in cells",0.8305,0.8234,0.8376,0.9448,0.0019,0.9411,0.9485
"10",9,"Both cultured in cells",0.8051,0.7973,0.8129,0.9433,0.002,0.9394,0.9472
"11",10,"Both cultured in cells",0.7657,0.7576,0.7737,0.9412,0.0021,0.9372,0.9452
"12",11,"Both cultured in cells",0.7105,0.702,0.7189,0.9366,0.0022,0.9323,0.9409
"13",12,"Both cultured in cells",0.6482,0.6386,0.6578,0.9293,0.0025,0.9244,0.9343
"14",13,"Both cultured in cells",0.5925,0.5824,0.6026,0.9207,0.003,0.9149,0.9266
"15",14,"Both cultured in cells",0.5498,0.539,0.5606,0.9128,0.0032,0.9064,0.9191
"16",15,"Both cultured in cells",0.5151,0.5031,0.5272,0.9061,0.0034,0.8994,0.9128
"17",16,"Both cultured in cells",0.4796,0.4664,0.4927,0.8992,0.0041,0.8911,0.9073
"18",17,"Both cultured in cells",0.4394,0.425,0.4539,0.888,0.0054,0.8774,0.8985
"19",18,"Both cultured in cells",0.3984,0.3832,0.4135,0.8665,0.0073,0.8521,0.8809
"20",19,"Both cultured in cells",0.3621,0.3451,0.3791,0.8275,0.0116,0.8048,0.8502
"21",20,"Both cultured in cells",0.3312,0.3091,0.3533,0.7643,0.0214,0.7224,0.8062
"22",21,"Both cultured in cells",0.3009,0.2762,0.3256,0.6786,0.038,0.6042,0.7531
"23",22,"Both cultured in cells",0.2677,0.2448,0.2907,0.588,0.0574,0.4755,0.7005
"24",23,"Both cultured in cells",0.237,0.2092,0.2648,0.5181,0.0742,0.3726,0.6636
"25",24,"Both cultured in cells",0.2223,0.1793,0.2652,0.4837,0.0879,0.3114,0.656
"26",25,"Both cultured in cells",0.2407,0.168,0.3134,0.483,0.1009,0.2852,0.6808
