infected_strain,tested_strain,log_titer,tested_year,infected_year,year_diff
HK/1/68,BI/15793/68,5.145677455195635,1968,1968,0
HK/1/68,BI/16190/68,6,1968,1968,0
HK/1/68,BI/16398/68,6.861707286585856,1968,1968,0
HK/1/68,BI/808/69,5,1969,1968,1
HK/1/68,BI/908/69,7,1969,1968,1
HK/1/68,BI/17938/69,5.791814071161826,1969,1968,1
HK/1/68,BI/93/70,6.793115555274348,1970,1968,2
HK/1/68,BI/2668/70,5,1970,1968,2
HK/1/68,BI/6449/71,4.044394119358453,1971,1968,3
HK/1/68,BI/21438/71,6.499845887083206,1971,1968,3
HK/1/68,BI/21801/71,6.499845887083206,1971,1968,3
HK/1/68,BI/6022/72,5.501439145158873,1972,1968,4
HK/1/68,BI/5168/76,0,1976,1968,8
HK/1/68,BI/4273/75,2,1975,1968,7
HK/1/68,BI/334/75,0,1975,1968,7
HK/1/68,BI/1843/75,2,1975,1968,7
HK/1/68,BI/21793/72,3,1972,1968,4
HK/1/68,BI/23290/72,3,1972,1968,4
HK/1/68,BI/23337/72,3,1972,1968,4
HK/1/68,BI/552/73,4,1973,1968,5
HK/1/68,BI/748/73,2.37851162325373,1973,1968,5
HK/1/68,BI/3517/73,3,1973,1968,5
HK/1/68,BI/5146/74,2,1974,1968,6
HK/1/68,BI/5930/74,2,1974,1968,6
HK/1/68,BI/5931/74,0.6780719051126377,1974,1968,6
HK/1/68,BI/7398/74,1,1974,1968,6
HK/1/68,BI/9459/74,2.584962500721156,1974,1968,6
HK/1/68,BI/2600/75,3,1975,1968,7
HK/1/68,BI/2813/75,2,1975,1968,7
HK/1/68,BI/628/76,0,1976,1968,8
HK/1/68,BI/1761/76,0,1976,1968,8
HK/1/68,BI/2271/76,0,1976,1968,8
HK/1/68,BI/5029/76,0,1976,1968,8
HK/1/68,BI/5657/76,0,1976,1968,8
HK/1/68,BI/6545/76,1,1976,1968,8
HK/1/68,AM/1609/77,0,1977,1968,9
HK/1/68,BI/3895/77,0,1977,1968,9
HK/1/68,RD/5828/77,2.584962500721156,1977,1968,9
HK/1/68,RD/8179/77,2,1977,1968,9
HK/1/68,NL/209/80,0,1980,1968,12
HK/1/68,RD/577/80,0,1980,1968,12
HK/1/68,NL/233/82,NA,1982,1968,14
HK/1/68,NL/241/82,NA,1982,1968,14
HK/1/68,NL/330/85,NA,1985,1968,17
HK/1/68,ST/10/85,NA,1985,1968,17
HK/1/68,CO/2/86,0,1986,1968,18
HK/1/68,NL/450/88,NA,1988,1968,20
HK/1/68,NL/620/89,NA,1989,1968,21
HK/1/68,VI/2/90,NA,1990,1968,22
HK/1/68,LY/1149/91,NA,1991,1968,23
HK/1/68,MA/G102/93,NA,1993,1968,25
HK/1/68,MA/G252/93,NA,1993,1968,25
HK/1/68,NL/241/93,NA,1993,1968,25
HK/1/68,NL/1/95,0,1995,1968,27
HK/1/68,WE/4/85,0,1985,1968,17
HK/1/68,OK/5/88,NA,1988,1968,20
HK/1/68,SI/2/87,0,1987,1968,19
HK/1/68,VI/7/87,NA,1987,1968,19
HK/1/68,AL/4382/82,NA,1982,1968,14
HK/1/68,LY/2380/81,NA,1981,1968,13
HK/1/68,BI/4791/81,NA,1981,1968,13
HK/1/68,BI/10684/82,NA,1982,1968,14
HK/1/68,OS/13676/83,NA,1983,1968,15
HK/1/68,NL/333/85,NA,1985,1968,17
HK/1/68,BA/1/79,NA,1979,1968,11
HK/1/68,PH/2/82,0,1982,1968,14
HK/1/68,CE/1/84,NA,1984,1968,16
HK/1/68,LE/360/86,NA,1986,1968,18
HK/1/68,VI/1/88,NA,1988,1968,20
HK/1/68,CC/2/88,NA,1988,1968,20
HK/1/68,ST/12/88,NA,1988,1968,20
HK/1/68,EN/138/89,NA,1989,1968,21
HK/1/68,EI/3447/89,NA,1989,1968,21
HK/1/68,EN/427/88,NA,1988,1968,20
HK/1/68,GE/5007/89,NA,1989,1968,21
HK/1/68,WE/3/90,NA,1990,1968,22
HK/1/68,WK/1/89,NA,1989,1968,21
HK/1/68,AT/3572DASH5/88,NA,1988,1968,20
HK/1/68,SH/11/87,NA,1987,1968,19
HK/1/68,GU/54/89,NA,1989,1968,21
HK/1/68,HK/1/89,NA,1989,1968,21
HK/1/68,NL/650/89,NA,1989,1968,21
HK/1/68,NL/738/89,NA,1989,1968,21
HK/1/68,SP/35/89,NA,1989,1968,21
HK/1/68,SP/40/89,NA,1989,1968,21
HK/1/68,WE/5/89,NA,1989,1968,21
HK/1/68,ME/2/90,NA,1990,1968,22
HK/1/68,SU/1/90,NA,1990,1968,22
HK/1/68,VI/33/92,NA,1992,1968,24
HK/1/68,NL/891/91,NA,1991,1968,23
HK/1/68,CA/1/91,NA,1991,1968,23
HK/1/68,EN/260/91,NA,1991,1968,23
HK/1/68,EN/261/91,NA,1991,1968,23
HK/1/68,MA/G12/91,NA,1991,1968,23
HK/1/68,NL/816/91,NA,1991,1968,23
HK/1/68,AM/4112/92,NA,1992,1968,24
HK/1/68,ES/1285/92,NA,1992,1968,24
HK/1/68,FI/220/92,NA,1992,1968,24
HK/1/68,MA/G58/92,NA,1992,1968,24
HK/1/68,NI/3129/92,NA,1992,1968,24
HK/1/68,NL/819/92,NA,1992,1968,24
HK/1/68,NL/935/92,NA,1992,1968,24
